Tries,Result
100,0.953125
600,0.9479166666666667
1100,0.9289772727272728
1600,0.9521484375
2100,0.9441964285714286
2600,0.9411057692307693
3100,0.9339717741935485
3600,0.9405381944444444
4100,0.9390243902439024
4600,0.9436141304347827
5100,0.9427083333333334
5600,0.9447544642857143
6100,0.9408299180327869
6600,0.9434185606060606
7100,0.9408010563380281
7600,0.9383223684210527
8100,0.9390432098765432
8600,0.9411337209302326
9100,0.9381868131868133
9600,0.9383138020833333
10100,0.9379641089108911
10600,0.9386792452830188
11100,0.9376407657657657
11600,0.9372306034482759
12100,0.937887396694215
12600,0.9370039682539683
13100,0.939050572519084
13600,0.9394531249999999
14100,0.9372783687943262
14600,0.9362157534246576
15100,0.9360513245033113
15600,0.9365985576923077
16100,0.9373059006211181
16600,0.9378765060240964
17100,0.9358552631578948
17600,0.9353693181818181
18100,0.9365504143646409
18600,0.9359879032258064
19100,0.9360274869109947
19600,0.9361447704081634
20100,0.9358675373134328
20600,0.9371966019417475
21100,0.938388625592417
21600,0.9378616898148149
22100,0.9379949095022624
22600,0.9387444690265487
23100,0.9382440476190477
23600,0.9388903601694915
24100,0.9386021784232365
24600,0.9392784552845529
25100,0.9399277888446215
25600,0.9407958984374999
26100,0.9404932950191571
26600,0.9404957706766918
27100,0.940094557195572
27600,0.9402173913043478
28100,0.9408919039145907
28600,0.9401223776223776
29100,0.9401310137457045
29600,0.9401921452702702
30100,0.940718438538206
30600,0.9404616013071896
31100,0.9405647106109324
31600,0.9413568037974683
32100,0.9410533489096573
32600,0.940711273006135
33100,0.9400962990936556
33600,0.9407552083333333
34100,0.9412115102639297
34600,0.9413836705202312
35100,0.9424412393162394
35600,0.9415379213483146
36100,0.9415252770083102
36600,0.9418118169398908
37100,0.9420906334231806
37600,0.9435671542553191
38100,0.9435695538057743
38600,0.9443409974093264
39100,0.9440537084398977
39600,0.9439709595959596
40100,0.944552680798005
40600,0.9448121921182266
41100,0.9457116788321168
41600,0.94580078125
42100,0.9451083729216152
42600,0.9446522887323944
43100,0.9448230858468678
43600,0.9445957568807339
44100,0.9448341836734695
44600,0.9443665919282511
45100,0.9440133037694013
45600,0.9441474780701755
46100,0.9440753796095445
46600,0.9443065987124464
47100,0.9443006900212315
47600,0.9445575105042017
48100,0.9447115384615385
48600,0.9451195987654321
49100,0.9443737270875764
49600,0.9446824596774194
50100,0.9445172155688624
50600,0.9444478754940712
51100,0.9442575831702543
51600,0.9441618217054264
52100,0.9443977927063341
52600,0.9443322243346007
53100,0.9440619114877589
53600,0.9442047574626865
54100,0.9446337800369686
54600,0.943853021978022
55100,0.9438520871143375
55600,0.9433172212230216
56100,0.9429590017825312
56600,0.9424414752650178
57100,0.9423982049036778
57600,0.9426812065972222
58100,0.9430131239242684
58600,0.9432860494880546
59100,0.9432106598984772
59600,0.9426646392617449
60100,0.9425956738768719
60600,0.943095090759076
61100,0.9431004500818331
61600,0.9432832792207793
62100,0.9431360708534622
62600,0.9430660942492012
63100,0.9431458003169573
63600,0.9430031446540881
64100,0.9432771060842433
64600,0.943377515479876
65100,0.9432123655913979
65600,0.9431926448170732
66100,0.9430786686838124
66600,0.9432713963963965
67100,0.9432982488822652
67600,0.9435096153846153
68100,0.9432131057268722
68600,0.9432853498542275
69100,0.9435600578871202
69600,0.9434940732758621
70100,0.9438971112696148
70600,0.9440509915014165
71100,0.9443785161744023
71600,0.944570530726257
72100,0.9443914701803051
72600,0.9447959710743801
73100,0.9450025649794802
73600,0.9445057744565216
74100,0.9446271929824562
74600,0.9447260388739948
75100,0.9448235685752331
75600,0.9450024801587301
76100,0.9452817017082785
76600,0.9453736945169713
77100,0.9453226329442282
77600,0.9452118234536082
78100,0.9450824263764405
78600,0.9451335877862596
79100,0.9454606510745891
79600,0.9456854585427136
80100,0.9454783083645443
80600,0.9454869727047146
81100,0.9454569975339087
81600,0.9456763174019608
82100,0.9451887941534713
82600,0.945293583535109
83100,0.9454159145607701
83600,0.9452938098086123
84100,0.9455261593341261
84600,0.945349438534279
85100,0.9453033196239718
85600,0.9452029789719626
86100,0.945267131242741
86600,0.9454929272517321
87100,0.9457878874856487
87600,0.9459546232876712
88100,0.9459066401816117
88600,0.9457710214446953
89100,0.9457947530864198
89600,0.9458182198660714
90100,0.9457547169811321
90600,0.9457781456953642
91100,0.9462129527991218
91600,0.9459948144104804
92100,0.9459995928338762
92600,0.9459874460043196
93100,0.9462607411385607
93600,0.9459969284188035
94100,0.9456196865037194
94600,0.9455932875264271
95100,0.9453864353312302
95600,0.9452144351464434
96100,0.9451092611862644
96600,0.9452316252587991
97100,0.9449665293511843
97600,0.9452484631147541
98100,0.9451771151885832
98600,0.9452808062880325
99100,0.9452415489404642
99600,0.94539093875502
100100,0.9454295704295704
